"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sid,household_behavior,,text,"Participant number",,,,,,,,,,,,,
cen_num,household_behavior,,text,"Census (household) number",,,,,,,,,RH,,,,
name,household_behavior,,text,Name,,,,,,y,,,RH,,,,
date,household_behavior,,text,"Date  of interview",,,date_dmy,,,,,,RH,,,,
latitude,household_behavior,,text,"GPS latitude",,,,,,,,,RH,,,,
longitude,household_behavior,,text,"GPS longitude",,,,,,,,,RH,,,,
gender,household_behavior,"Part  A: Demographics of Household",radio,"Gender  of respondent","1, Male | 2, Female",,,,,,,,RH,,,,
age,household_behavior,,text,"Age of respondent",,,,,,,,,RH,,,,
head_of_house_yn,household_behavior,,yesno,"Is this person the head of the household?",,,,,,,,,RH,,,,
num_people_in_house,household_behavior,,text,"How many people are usually in the household?",,,,,,,,,RH,,,,
occupation_rad,household_behavior,,radio,"Occupation of head of household","1, Daily wage/labor | 2, Salaried service | 3, Self-employed/trade | 4, Housewife | 5, None | 6, Other, specify",,,,,,,,,,,,
occupation_other,household_behavior,,text,"if Other, specify",,,,,,,"[occupation_rad] = '6'",,RH,,,,
education_rad,household_behavior,,radio,"Highest level of education of head of household","1, None | 2, Primary | 3, Secondary | 4, University | 5, Diploma | 6, Graduate or higher | 7, Other, specify",,,,,,,,,,,,
education_other,household_behavior,,text,"if Other, specify",,,,,,,"[education_rad] = '7'",,RH,,,,
electricity_rad,household_behavior,,radio,"Electricity in household?","1, Yes | 2, No | 3, Other, specify",,,,,,,,RH,,,,
electricity_other,household_behavior,,text,"if Other, specify",,,,,,,"[electricity_rad] = '3'",,RH,,,,
water_rad,household_behavior,,radio,"Type of water  supply","1, Indoor  plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump | 6, Other, specify",,,,,,,,,,,,
water_other,household_behavior,,text,"if Other, specify",,,,,,,"[water_rad] = '6'",,RH,,,,
toilet_rad,household_behavior,,radio,"Toilet available?","1, No toilet for household | 2, Pit latrine available | 3, Other, specify",,,,,,,,,,,,
toilet_other,household_behavior,,text,"if Other, specify",,,,,,,"[toilet_rad] = '3'",,RH,,,,
