"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mic_sid1,microscopy_lab_report,"RECORD IDENTIFIER",text,"Subject ID (with --1, --2)",,"add double entry number --1 or --2",,,,,,,RH,,,,
mic_sid2,microscopy_lab_report,"SLIDE INFORMATION",text,"Subject ID (plain)",,"no double entry number , e.g. "" R0001 """,,,,,,,RH,,,,
mic_sample_collect_date,microscopy_lab_report,,text,"Sample collection date",,dd-mm-yyyy,date_dmy,,,,,,RH,,,,
days,microscopy_lab_report,,calc,"Days since enrollment","datediff([visit_1_enrollment_arm_1][mic_sample_collect_date],[mic_sample_collect_date],""d"",""dmy"")","this field is filled automatically",,,,,,,RH,,,,
mic_species,microscopy_lab_report,,checkbox,Species,"1, Neg | 2, Pf | 3, Pv | 4, Pm | 5, ND",,,,,,,,RH,,,,
mic_counts1,microscopy_lab_report,,text,"Species 1 Asexual / Sexual counts",,"e.g. "" 110 / 20 "" ",,,,,"[mic_species(2)] = '1' or [mic_species(3)] = '1' or [mic_species(4)] = '1'",,RH,,,,
mic_counts2,microscopy_lab_report,,text,"Species 2 Asexual / Sexual counts",,"e.g. "" 110 / 20 "" ",,,,,"([mic_species(2)] = '1' and [mic_species(3)] = '1') or ([mic_species(2)] = '1' and  [mic_species(4)] = '1') or ([mic_species(3)] = '1' and  [mic_species(4)] = '1')",,RH,,,,
mic_form_date,microscopy_lab_report,"FORM INFORMATION",text,"Form Filled Date:",,dd-mm-yyyy,date_dmy,,,,,,RH,,,,
mic_page_number,microscopy_lab_report,,text,"Page number:",,,,,,,,,,,,,
mic_completed_by,microscopy_lab_report,,text,"Filled by:",,,,,,,,,RH,,,,
mic_deo_notes,microscopy_lab_report,"DEO NOTES",notes,"Data Entry Notes",,,,,,,,,RH,,,,
mic_discrepant,microscopy_lab_report,"DISCREPANCY CHECK  (ENTRY --2 ONLY)",yesno,Discrepant?,,"complete for 2nd entry ONLY",,,,,,,RH,,,,
pes_yn,microscopy_lab_report,,yesno,PES,,,,,,,"[mic_sid1] = 'XXXX'",,RH,,,,
