"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sid,enrollment,,text,SID,,,,,,,,y,RH,,,,
date,enrollment,,text,Date,,dd-mm-yyyy,date_dmy,,,,,,RH,,,,
time,enrollment,,text,Time,,"hh:mm, use 24-hr clock",time,,,,,,RH,,,,
date_admitted,enrollment,ADMISSION,text,"Admission Date",,dd-mm-yyyy,date_dmy,,,,,,RH,,,,
time_admit,enrollment,,text,"Admission Time",,hh:mm,time,,,,,,RH,,,,
blood_rad,enrollment,,radio,"Blood obtained for study at admission?","1, Yes | 2, No |99999, unknown",,,,,,,,RH,,,,
blood_fridge_rad,enrollment,,radio,"Blood stored in fridge?","1, Yes | 2, No |99999, unknown",,,,,,"[blood_rad] = '1'",,RH,,,,
datetime_antimal_dose,enrollment,,text,"Date and time of first antimalarial dose administered in hospital",,dd-mm-yyyy,datetime_dmy,,,,,,RH,,,,
checkedby,enrollment,,text,"Checked by",,,,,,,,,RH,,,,
info_source_rad,enrollment,DEMOGRAPHICS,radio,"Source of information","1, Patient him/herself | 2, Other",,,,,,,,RH,,,,
info_source_other,enrollment,,text,"If other, specify",,,,,,,"[info_source_rad] = '2'",,RH,,,,
city,enrollment,,text,City/Taluk/Tehsil,,,,,,,,,RH,,,,
village,enrollment,,text,Village/Nagar,,,,,,,,,RH,,,,
age,enrollment,,text,Age,,"enter ""missing"" if blank",integer,0,100,,,,RH,,,,
sex_rad,enrollment,,radio,Sex,"1, Female | 2, Male |88888, missing",,,,,,,,LV,,,,
education_rad,enrollment,,radio,"Highest level of education","1, None | 2, Primary school | 3, Secondary school | 4, University | 5, Diploma | 6, Graduate or higher | 88888, missing",,,,,,,,LV,,,,
occupation_rad,enrollment,,radio,Occupation,"1, Daily wage/labor | 2, Service (=salaried) | 3, Trade (=self-employed) | 4, Housewife | 5, Student | 6, None | 88888, missing",,,,,,,,LV,,,,
ses_rad,enrollment,,radio,"Socioeconomic status","1, Above poverty line | 2, Below poverty line | 88888, missing",,,,,,,,RH,,,,
house_rad,enrollment,,radio,"House is made from","1, Mud | 2, Brick | 3, Concrete | 4, Thatch | 5, Other | 88888, missing",,,,,,,,LH,,,,
house_other,enrollment,,text,"If other, specify",,,,,,,"[house_rad] = '5'",,RH,,,,
water_rad,enrollment,,radio,"Water source","1, Indoor plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump | 6, Other | 88888, missing",,,,,,,,LH,,,,
water_rad_other,enrollment,,text,"If other, specify",,,,,,,"[water_rad] = '6'",,RH,,,,
travel_14d_rad,enrollment,,radio,"Has traveled in the past 14 days","1, Yes | 2, No |88888, missing",,,,,,,,RH,,,,
travel_14d_country,enrollment,,text,Country,,,,,,,"[travel_14d_rad] = '1'",,RH,,,,
travel_14d_state,enrollment,,text,State,,,,,,,"[travel_14d_rad] = '1'",,RH,,,,
travel_14d_district,enrollment,,text,District,,,,,,,"[travel_14d_rad] = '1'",,RH,,,,
travel_14d_city,enrollment,,text,City/Taluk/Tehsil,,,,,,,"[travel_14d_rad] = '1'",,RH,,,,
travel_14d_village,enrollment,,text,Village/Nagar,,,,,,,"[travel_14d_rad] = '1'",,RH,,,,
sprayed_chk,enrollment,"C. MOSQUITO CONTROL",checkbox,"Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing",,,,,,,,LV,,,,
repellent_chk,enrollment,,checkbox,"Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing",,,,,,,,LV,,,,
bednet_chk,enrollment,,checkbox,"Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing",,,,,,,,LV,,,,
pastyear_maldx_num,enrollment,"D. 12-MONTH MALARIA HISTORY",text,"Number of times diagnosed with malaria in the last 12 months",,"enter ""missing"" if blank",integer,,,,,,RH,,,,
date_thismal_onset,enrollment,,text,"Date of onset of this episode of illness",,dd-mm-yyyy,date_dmy,,,,,,RH,,,,
trtmnt_sought_rad,enrollment,,radio,"Has the patient sought treatment before coming to this hospital?","1, Yes |2, No |99999, unknown",,,,,,,,RH,,,,
trtmnt_soughtwhere_rad,enrollment,,radio,"If yes, where?","1, Public hospital/physician | 2, Private hospital/physician | 3, Traditional healer | 4, Self-treatment | 5, Other | 6, missing",,,,,,"[trtmnt_sought_rad] = '1'",,LH,,,,
trtmnt_soughtwhere_other,enrollment,,text,"If other, specify",,,,,,,"[trtmnt_soughtwhere_rad] = '5'",,RH,,,,
trtmnt_sought_treat_rad,enrollment,,radio,"If yes, was any treatment provided?","1, Yes | 2, No | 99999, unknown",,,,,,"[trtmnt_sought_rad] = '1'",,RH,,,,
trtmnt_sought_treat_y_chk,enrollment,,checkbox,"If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing",,,,,,"[trtmnt_sought_treat_rad] = '1'",,,,,,
trtmnt_antimalarial,enrollment,,text,"Specify antimalarials",,,,,,,"[trtmnt_sought_treat_y_chk(1)] = '1'",,RH,,,,
trtmnt_antibiotic,enrollment,,text,"Specify antibiotics",,,,,,,"[trtmnt_sought_treat_y_chk(2)] = '1'",,RH,,,,
trtmnt_analgesic,enrollment,,text,"Specify analgesics",,,,,,,"[trtmnt_sought_treat_y_chk(3)] = '1'",,RH,,,,
trtmnt_other,enrollment,,text,"Specify other",,,,,,,"[trtmnt_sought_treat_y_chk(4)] = '1'",,RH,,,,
trtmnt_date_antimal,enrollment,,text,"If an antimalarial was given, when was the medicine started?",,"dd-mm-yyyy or 'unknown'",,,,,"[trtmnt_sought_treat_y_chk(1)] = '1'",,RH,,,,
has_other_disease_rad,enrollment,,radio,"Does the patient have any other disease?","1, Yes |2, No |99999, unknown",,,,,,,,RH,,,,
other_disease,enrollment,,text,"If yes, specify",,,,,,,"[has_other_disease_rad] = '1'",,RH,,,,
pregnant_rad,enrollment,,radio,"Is the patient pregnant?","1, Yes |2, No |3, not applicable |99999, unknown",,,,,,,,RH,,,,
if_yes_preg_rad,enrollment,,radio,"If yes, is this her first pregnancy?","1, Yes | 2, No | 3, Unknown",,,,,,"[pregnant_rad] = '1'",,RH,,,,
symptoms_chk,enrollment,"E. SYMPTOMS AND EXAM",radio,Headache,"1, Yes | 2, No |3, Unknown",,,,,,,,LV,,symptoms,,
chills,enrollment,,radio,Chills,"1, Yes | 2, No |3, Unknown",,,,,,,,,,symptoms,,
aches_or_pains,enrollment,,radio,"Aches or pains","1, Yes | 2, No |3, Unknown",,,,,,,,,,symptoms,,
fatigue,enrollment,,radio,Fatigue,"1, Yes | 2, No |3, Unknown",,,,,,,,,,symptoms,,
